index;noi_dung_binh_luan;noi_dung_binh_luan_dung_chinh_ta
3464;sp rất tốt các bạn nên mua;SP rất tốt, các bạn nên mua.
3465;siu xinh luôn .săn đc ẻm 372k buổi trưa .20 phút sau lên 400k hơn lại;Siu xinh luôn .săn đc ẻm 372k
3466;mềm môi không bị bóng ngọt ngọt thơm rất đáng để mua lại nhiều lần;Mềm môi không bị bóng, ngọt ngọt thơm, rất đáng để mua lại
3468;sử dụng dễ dàng, rất thoải mái, thư dãn tột độ;Sử dụng dễ dàng, rất thoải mái, thư dãn tột độ.
3469;tạm ổn với mức giá này, không mong đợi gì hơn.;tạm ổn với mức giá này, không mong đợi gì hơn.
3476;sản phẩm dùng tốt cho da dầu. đã sử dụng rất nhiều và rất thích;Sản phẩm dùng tốt cho da dầu. đã sử dụng rất nhiều và rất thích.
3477;mua 2 serum được tặng quá trời quà luônn;Mua 2 set được tặng quá trời quà luôn.
3482;giá hơi chát nhưng xài rất rất sạch, dễ nhũ hoá ko bị bí bách da.;giá hơi chát nhưng xài rất rất sạch, dễ nhũ hoá ko
3483;chất mask ôm da, nhiều dưỡng, đắp ẩm lắm, mình dùng những ngày da xuống cấp là sáng lại hẳn luôn;Chất mask ôm da, nhiều dưỡng, đắp ẩm lắm, mình dùng những
3485;tui dung bộ làm sạch của nhà la này cũng 5 năm rùi. da k có miếng mụn ẩn nào ...sạch dã mang. chan ái với da dầu lỗ chân lông to nhé;tui dùng bộ làm sạch của nhà la này cũng 5 năm rồi. da k có
3486;chống nắng ổn, hiệu chỉnh màu da tốt, da mình sài không có đổ dầu nhìu, siêu ráo luôn íii;Chống nắng ổn, hiệu chỉnh màu da tốt, da mình sài không
3492;mình đặt hôm qua mà nay đã nhận được hàng,rất hài lòng với cách làm việc của shop,còn chất lượng sp thì mình đã sử dụng rồi thấy ok nên lại mua tiếp;Mình đặt hôm qua mà nay đã nhận được hàng, rất hài lòng với cách làm
3493;huhu sao giờ mình mới biết đến sp này :(( thật sự đã dùng nhiều loại trị mụn của các hãng vn nhưng ko hợp, nên lúc đọc review của mn về megaduo thì đặt hàng thử. trộm vía mình dùng 5 ngày liên tục cho các nốt mụn mới thì xẹp hẳn, có mờ thâm, những vết thâm cũ cũng có cải thiện đáng kể luôn. sp giá rẻ, hiệu quả, rất xứng đáng để trải nghiệm, sẽ giới thiệu ai bị mụn nên mua em nàyyyyy;huhu sao giờ mình mới biết đến sp này nhỉ?( thật sự đã dùng
3494;sao em mua mặt nạ vitamin d và vitamin k khi đăp lên mặt có hiện tượng nóng phừng phừng nhỉ? hôm trước qua cn phan văn trị shop hết loại hay dùng được nv tư vấn qua mặt nạ mới nhập này mà hoang mang quá;Sao em mua mặt nạ vitamin D và vitamin K khi đắp lên mặt có hiện tượng
3495;chống nắng của sunplay thì tuyệt vời rồi. mình đã sài biết bao nhiêu chai mà chưa đổi hãng khác.;chống nắng của sunplay thì tuyệt vời rồi. mình đã sài biết bao
3496;đã mua dùng 2 lần, bông xài ổn;đã mua dùng 2 lần, bông xài ổn.
3498;mình mới mua hũ thứ 2 nè, xài ưng ý nha, da ẩm mượt, không nhờn rít à.;Mình mới mua hũ thứ 2 nè, xài ưng ý nha
3499;hơi thất vọng vì m mới mua nhưng shop lại gửi sp không phải mẫu mới!;hơi thất vọng vì m mới mua nhưng shop lại gửi sp không phải mẫu mới!
3500;sử dụng tốt.;sử dụng tốt.
3505;serum thấm nhanh, có cấm ẩm nữa dùng thích lắm. mn nên thử nha;Serum thấm nhanh, có cả ẩm nữa, dùng thích lắm. Em
3507;loại này tẩy khá sạch vs lành tính. sẽ mua lại;Loại này tẩy khá sạch và lành tính. sẽ mua lại.
3510;sp tốt. mua lần 3 rồi.;sp tốt. mua lần 3 rồi.
3515;1xx 500ml là quá rẻ lun á mng oi. mình mới mua em này lần đầu test thử, sp dịu nhẹ mùi thơm thoang thoảng khá là phù hợp với mình, tẩy trang k bị rát hay nóng mặt mát nhẹ lướt trên da. da mình da dầu mụn thấy ổn nha;1x 500ml là quá rẻ, lun á mng oi. Mình
3517;dưỡng ẩm thấm nhanh có sáng nhẹ nha, xài xong cảm thấy khỏe da hẳn;Dưỡng ẩm thấm nhanh, có sáng nhẹ nhẹ nha, xài
3518;"chân ái của đời mình. rất tốt cho da dầu, giúp da thông thoáng và căng bóng. tuy nhiên xài lâu ngày hơi bị ""lờn"", mình phải phối hợp thêm bha 9% mới đỡ mụn đầu đen.";chân ái của đời mình. rất tốt cho da dầu, giúp da thông thoáng
3520;dùng rất ok, sạch, ko khô da;Dùng rất ok, sạch, ko khô da.
3522;sài rất ok,mùi thoang thoảng và làm dịu da;Sài rất ok, mùi thoang thoảng và làm dịu da.
3523;đóng gói cẩn thận, giao hàng đúng thời gian;Đóng gói cẩn thận, giao hàng đúng thời gian.
3524;loại này màu hồng mình thuộc da dầu vẫn tt sạch và ko bị kích ứng nha mọi người. mình từng dùng loại của loreal thấy hay bị ửng và châm chích sau tt. riêng loại này thấy êm. sẽ mua thêm;Loại này màu hồng, mình thuộc da dầu vẫn tốt sạch và ko bị kích ứng
3529;lọ thủy tinh nên dễ dàng thấy chất serum màu trắng đục, dạng lỏng như nước ấy, nên thoa vào da thấm ngay vào da, vỗ nhẹ nhẹ là khô hẳn, không bết rít tẹo nào. mùi em này không mấy dễ chịu vì có nghe hãng nói không hương liệu, nên nghe hơi hao hao mùi thuốc, sau 1-2 phút đầu thoa sẽ hết nghe mùi. sau hơn 1 tháng gần tháng rưỡi, thì mình thấy da cải thiện rõ về mảng sáng mịn, đều màu hơn, mấy vết sần sùi thì mịn hơn hẳn luôn. nói chung ngoài các bạn đang bị mụn ra thì dùng này dưỡng trắng rất ưng luôn.;Lọ tinh nên dễ dàng thấy chất serum màu trắng đục, dạng
3530;không vón, cấp ẩm tốt, kiềm dầu. tuy nhiên chống nước không tốt nên mọi người lưu ý;không vón, cấp ẩm tốt, kiềm dầu. Tuy nhiên chống
3531;giao hàng nhanh , chưa sài nên chưa thể đánh giá ntn được mà không ghi rõ là hàng được tặng chỉ cho tphcm;Giao hàng nhanh , chưa sài nên chưa thể đánh giá nhanh được mà
3533;giao hàng chậm trễ, sản phẩm không như mong đợi.;giao hàng chậm trễ, sản phẩm không như mong đợi.
3534;loại này tốt nè, mình bị dầu mụn xài thấy sạch hơn hẳn, mụn ẩn cũng đỡ hơn, nhưng phải kết hợp những bước khác hợp thì mới cải thiện nhiều nha;Loại này tốt nè, mình bị dầu mụn xài thấy sạch hơn hẳn,
3535;chưa dùng vì vừa nhận đc hàng.đóng gói cẩn thận;chưa dùng vì vừa nhận được hàng. đóng gói cẩn thận.
3536;tư vấn nhiệt tình, nâng tông da nhẹ. chống nắng tốt, đi chơi đi học không cảm thấy da bị sạm đi nhiều.;tư vấn nhiệt tình, nâng tông da nhẹ. chống nắng tốt, đi chơi đi
3540;lại là mình đây sau khi sd 2 tuýp 50ml nay mình mua size 200ml luôn, đặt hôm trước hôm sau có.;lại là mình đây sau khi sd 2 tuýp 50ml nay mình mua
3545;teoem789@gmail.com;teoem789@gmail.com.
3546;em da hỗn hợp dầu mụn nhưng mà sau 3 ngày sd chai này thì em thấy mặt có hiện tượng hơi căng căng nhẹ. sáng sớm rửa thì em thấy hai bên má có hiện tượng tróc da nhẹ. cho em hỏi như vậy thì có saok ạ, do e chỉ rửa mặt và dùng toner th k dưỡng ẩm;Em đã hỗn hợp dầu mụn nhưng mà sau 3 ngày sử dụng này thì em
3548;thật dễ chịu khi sài sản phẩm mát sạch làn da, đầu óc sản khoái!;thật dễ chịu khi sài sản phẩm mát sạch làn da, đầu óc
3549;dùng đã được 1 tháng, thấy da đổ dầu ít hơn hẳn sau khi thoa kem,mấy mụn li ti ở trán xẹp hẳn,sáng dậy nha còn mềm mềm mịn màng nữa í.các bác nên thử nhá. sẽ sử dụng dài dài ạ.;dùng đã được 1 tháng, thấy da đổ dầu ít hơn hẳn sau khi thoa
3550;loại ban đầu mình xài là dạng sữa loại xanh mint, theo cảm nhận của bản thân thì mình thấy kềm dầu tốt, tạo lớp nền khá mướt tuy nhiên hơi khô xa nên mình xài một lớp dưỡng ẩm trước. nếu không dưỡng ẩm thì nhìn như bị mốc vậy. sau khi dùng được 2 chay thì mình đổi qua dạng tinh chất, sp thấm khá nhanh, tạo lớp nền mỏng nhẹ. dùng loại này mình không cần lớp dưỡng ẩm, toner xong là tới nó ngay. lớp nền khá mướt, da cũng có lên tone. theo cảm nhận của mình thì dạng tinh chất làm da mướt hơn dạng sữa;Loại ban đầu mình xài là dạng sữa loại xanh mint, theo cảm nhận
3551;mình là da nhạy cảm mà dùng thấy rất thích, mướt, mát, mịn, lại còn đc sale nên xứng đáng mua nha;Mình là da nhạy cảm mà dùng thấy rất thích, mướt, mát,
3554;đừng rta hiệu quả sản phẩm đáng để dùng;Đừng ra hiệu quả sản phẩm đáng để dùng.
3555;giữ ấm chống lão hoá cho da. mùi thơm dễ chịu;Giữ ấm chống lão hoá cho da. Mùi thơm dễ chịu.
3556;sản phẩm thơm mùi sữa gạo, đắp xong da sạch thoáng, mịn màng lưu hương nhẹ trên da, giúp kiềm dầu.;sản phẩm thơm mùi sữa gạo, đắp xong da sạch thoáng, mịn màng lưu hương
3561;da mình từ đầu có mụn ẩn trắng , dùng hết hai chai serum thì thấy mịn dần , giảm mụn ẩn hẳn , mình kết hợp với megaduo thì thấy rõ luôn , tầm 2 tháng là mặt nhẵn mịn , với tầm giá này thì quá ổn ko có gì để chê;Da mình từ đầu có mụn ẩn trắng , dùng hết hai chai
3562;cuối cùng t cũng đã tìm được e btt chân ái của mình áaa, ta nói nó mịn gì đâu, còn kh bị xơ như mấy hàng trc đó t dùng. da t là da mụn nên gặp được em này thì dùng sướng ôi thôi r.;Cuối cùng T. cũng đã tìm được e bt chân ái của mình á
3564;kem chống nắng rất khó tán, chất đặc chứ không mỏng, khi lên da sẽ bị trắng bệt không tệp vào màu da.;Kem chống nắng rất khó tán, chất đặc chứ không mỏng, khi lên da sẽ
3565;cá nhân mình thấy ko thích bằng dạng hộp của hotosu, bị sơ bông và dính bông lên mặt;Cá nhân mình thấy ko thích bằng dạng hộp của Hugo, bị sơ bông và dí
3566;đợt trước có dùng màu hồng 12ml mà giờ dùng sang loại màu vàng đồng nắp xanh này ok nhé cả nhà. lỏng thấm nhanh mỏng nhẹ, mùi dễ chịu, lên da k gây bết dính . đúng là đắt xắt ra miếng;đợt trước có dùng màu hồng 12ml mà giờ dùng sang loại màu vàng đồng,
3569;da nhạy cảm xài được o shop;Da nhạy cảm xài được ở shop?
3574;dạ mình là da dầu, dễ kích ứng vs tất cả mọi thứ (mỹ phẩm, bông tẩy trang, thời tiết, cái bột trên qurả bong bóng cũng làm mk bị kích ứng) và mỗi lần vậy sẽ bị ngứa. cơ địa dễ lên mụn do nội tiết nữa nhưng sài em này thì mk thấy khá ổn, mk hợp với hãng này lắm nha, dùng nào cũng k bị kích ứng, nên mình thấy rất lành tính. về mụn mk thấy được kiểm soát hơn, k phải hoàn toàn k nổi lên nữa nhưng có ít hơn và gom còi nhanh hơn, da cũng k bị thiếu ẩm khi dùng. mk sẽ dùng lâu dài hơn nha.;Dạ mình là da dầu, dễ kích ứng vs tất cả mọi thứ (mỹ
3578;nước tẩy trang tốt. không gây rát gia. tẩy trang sạch giá còn phải chăng;Nước tẩy trang tốt. không gây rát da. tẩy trang sạch giá còn phải
3579;quá ok nha mn;quá ok nha em!
3583;được bạn quản lý giới thiệu sản phẩm này. da mình rất nhạy cảm luôn, sài nhiều loại serum rồi mà cứ bị kích ứng nổi mụn. riêng từ ngày sài chai này là da mình không bị kích ứng luôn, da mềm mịn, kiềm dầu lắm luôn, cấp ẩm nữa. còn về sáng da, mờ thâm thì mình chưa sài hết chai nên chưa cảm nhận được;Được bạn quản lý giới thiệu sản phẩm này. da mình rất nhạy cảm luôn,
3585;ai da dầu hoặc hỗn hợp thiên dầu thì rinh ngay em nó về nhe! thấm nhanh mà kiềm dầu rất tốt luôn. nếu ở trong nhà k có máy điều hoà thì sau 3_4 tiếng vẫn ráo và thoáng. đặc biệt xài em này cũng k bị bí da, ít mụn.;ai da dầu hoặc hỗn hợp thiên dầu thì rinh ngay em nó về nh
3589;dùng 1 tháng thấy da giảm tiết dầu và mờ thâm mụn, thấm nhanh hơn niacinamin the ordianary,;Dùng 1 tháng thấy da giảm tiết dầu và mờ thâm mụn, thấm nhanh hơn nia
3594;thơm, rất mền mịn da, đỡ mụn hơn;Thơm, rất mềm mịn da, đỡ mụn hơn.
3596;sp sài tốt, giá hợp lý;SP sài tốt, giá hợp lý.
3597;đã mua hai chai ở đây rồi, tẩy sạch, dịu nhẹ, dung tích lớn;đã mua hai chai ở đây rồi, tẩy sạch, dịu nhẹ, dung tích
3598;mik dùng đến lọ thứ 3 rồi, loại này dùng thích lắm, rửa xong mịn da vs ko bị lên mụn là siu ưng rồi giá cũng hợp lí;Mình dùng đến lọ thứ 3 rồi, loại này dùng thích lắm, rửa xong
3600;chất lượng oke, mà cách bán combo của shop ko đe ý là không biet, giá 1 gói 26k, mua 2 lại 56k, càng mua nhiều giá càng cao;Chất lượng kém, mà cách bán combo của shop ko để ý là không biết
3601;sản phẩm sử dụng rất tốt, vô cùng lành tính, thấm nhanh, ko nhờn rít, ko lên tông, kiềm dầu tốt, an toàn cho da đang kích ứng như mình luôn;Sản phẩm sử dụng rất tốt, vô cùng lành tính, thấm nhanh, ko nhờ
3602;sản phẩm tốt được ưa chuộng;Sản phẩm tốt được ưa chuộng.
3603;xài chai thứ 4-5 rồi, chắc do da hợp xài đỡ mụn hẳn;Xài chai thứ 4-5 rồi, chắc do da hợp xài,
3604;coi review chán mới tính mua, sợ hố ai ngờ ngon nha, che phủ quá ổn, có điều hút mụn thì như mình cần phải có cả chấm mụn kèm nữa, nó mới nhanh gom cồi;Coi review chán mới tính mua, sợ hố, ai ngờ ngon nha,
3606;ok lắm nè … ko đòi gì thêm hợp vs túi tiền.;ok lắm nè ... ko đòi gì thêm hợp vs túi tiền.
3607;hàng đóng gói cẩn thận, nhân viên vui vẻ nhiệt tình;Hàng đóng gói cẩn thận, nhân viên vui vẻ nhiệt tình.
3608;quá tuyệt vời. mình đã mua lại nhiều lần.;quá tuyệt vời. mình đã mua lại nhiều lần.
3611;lớp nền mỏng, lên tone hồng nhẹ nhàng, kiềm dầu mức trung bình, da thiên dầu nên cân nhắc nhé. mình khá thích e này vì có thể làm lớp trang điểm mà k cần dặm phấn. đánh giá 5 sao;Lớp nền mỏng, lên tone hồng nhẹ nhàng, kiềm dầu mức trung
3614;dùng chai này là chai thứ 4 rùi, ai da trắng muốn da hồng hào thì dùng chai này ổn áp.;dùng chai này là chai thứ 4 rùi, ai da trắng muốn da
3616;hôm rồi mình mua 308k. lần đầu mua mà sài êm lắm rất thích. sẽ mua tiếp khi dùng hết nè;Hôm rồi mình mua 308k. lần đầu mua mà sài êm
3617;đc cái rẽ nhưng xài rát da mặt da khô k nên dùng;Đắc cái rẽ, nhưng xài rát da mặt, da
3619;rất khuyến khích các bạn da đang bị kích ứng dùng cái này. mình thấy khả năng kiềm dầu ko thần thánh như một số bạn bảo, nhưng hồi phục là đỉnh của đỉnh, giá oke mà chất lượng cũng rất ổn.;rất khuyến khích các bạn da đang bị kích ứng dùng cái này. mình thấy khả
3620;mình sẽ mua xài quài vì chỉ mỗi chai này xài hợp cho da hỗn hợp thiên dầu nhạy cảm như mình. trộm vía ngàn lần;Mình sẽ mua xài quài vì chỉ mỗi chai này xài
3621;tonner dịu nhẹ rất phù hợp cho da nhạy cảm mùi cũng thơm nữa;Toner dịu nhẹ rất phù hợp cho da nhạy cảm, mùi cũng thơm nữa.
3622;dịch vụ và nhân viên tư vấn tốt;Dịch vụ và nhân viên tư vấn tốt.
3624;sản phẩm hạt nhỏ nhưng khi massage lên mặt thì cảm giác hạt rất cứng, không tan nên dễ làm xước da. da mỏng hoặc nhạy cảm nên suy nghĩ trước khi mua.;sản phẩm hạt nhỏ nhưng khi massage lên mặt thì cảm giác hạt rất cứng, không
3626;loại này không nâng tone cũng không bệt trắng, dễ đánh đều, cũng hạn chế mụn tốt. hợp với bạn nào có vấn đề về mụn nha.;Loại này không nâng tone cũng không bệt trắng, dễ đánh đều, cũng hạn
3631;sản phẩm tốt an toàn cho da;Sản phẩm tốt, an toàn cho da.
3633;cho sdt pass a de minh mua;cho sdt pass a de minh mua.
3635;kiềm dầu tốt, đổ mồ hôi vẫn có vệt trắng. kem đặc nên dùng khá lâu so với các dòng khác;Kiềm dầu tốt, đổ mồ hôi vẫn có vệt trắng. Kem đặc
3639;tẩy trang sạch, ko bị khô da;Tẩy trang sạch, ko bị khô da.
3640;dùng ổn, không gây kích ứng;Dùng ổn, không gây kích ứng.
3643;sản phẩm tốt nhưng mong ad tặng quà sản phẩm khác như bông tẩy trang chẳng hạn chứ tặng son thì không cần thiết lắm do mình không dùng;Sản phẩm tốt nhưng mong anh tặng quà sản phẩm khác như bông tẩy trang chẳng hạn
3646;sp này đánh lên mặt giống như 1 lớp trang điểm nhìn cũng đẹp nhưng hơi bị bí da. ai muốn đi làm mà k cần tốn thời gian trang điểm thì dùng em này còn ai muốn có làn da thông thoáng tự nhiên thì k nên sd em này. còn nữa khi sd em này mà đeo khẩu trang thì nó sẽ dính hết vào khẩu trang nhìn k thik chút nào. nói chung sp ổn.;sp này đánh lên mặt giống như 1 lớp trang điểm nhìn cũng đẹp nhưng hơi bị
3647;e sử dụng mỗi loại này, thoa từng vùng trét đến đâu tán đều nhanh tay đến đó, sản phẩm nhanh khô nên lúc thoa đừng ngồi trước gió. da đủ ẩm, không có da chết thì không hề bị vón cục nha. e thấy mọi người đánh giá 1* tội shop;e sử dụng mỗi loại này, thoa từng vùng trét đến đâu tán đều
3648;giá hợp lí rất mềm êm.m dùng 2th roi moi het pin sac cung nhanh;Giá hợp lí, rất mềm, êm.., dùng 2th rồi moi
3649;sản phẩm không tệ lắm, nhưng vẫn thấy chưa hài lòng.;sản phẩm không tệ lắm, nhưng vẫn thấy chưa hài lòng.
3652;mình thấy lớp finish rất đẹp á, khả năng chống nước bình thường đc cái không lên mụn, da mình là hỗn hợp thiên dầu, ai da dầu thì nên cân nhắc vì loại này khá bóng;Mình thấy lớp finish rất đẹp á, khả năng chống nước bình thường, đặc cái
3655;mình muốn tư vấn cho da nhạy cảm có mụn nội tiết có sử dụng đc không, và kèm sản phẩm chăm sóc da khác có sao không;Mình muốn tư vấn cho da nhạy cảm có mụn nội tiết có sử dụng được không
3656;kem này lúc mới sd sẽ k thấy hiệu quả, nó chỉ có hiệu quả tức thời sau 1 thời gian sẽ hết trắng, nhưng khi kiên trì sd gần 2 tháng thì da mình trắng lên. nó lên tone từ từ. mình đã sd hết 1 hủ và sẽ mua lại;Kem này lúc mới sử dụng sẽ không thấy hiệu quả, nó chỉ có hiệu quả
3658;da dầu mụn sử dụng okela, nhưng ko thích cái mùi lắm, tạo bọt tốt, sạch da, chỉ sử dụng buổi tối. sáng thì sử dụng loại khác dịu nhẹ hơn.;da dầu mụn sử dụng okela, nhưng ko thích cái mùi lắm, tạo b
3661;sản phẩm khá là dịu nhẹ trên da. mình chỉ lau bụi không cần tẩy trang nên không biết có tẩy được trang điểm không. sau khi tẩy không thấy bị nhờn rít hay căng da. không có mùi.;sản phẩm khá là dịu nhẹ trên da. mình chỉ lau bụi không cần tẩy
3664;mùi cồn hơi nồng, dần sẽ quen. bạn nào da yếu, da mụn, da nhạy cảm nên cân nhắc nha. vì sp lên da gây châm chích, đỏ da, rát, làm cay mắt.chỉ là lotion hỗ trợ thui nên về phần trị mụn thì mình đánh giá kém, k hiệu quả lắm, ngừa viêm thì ok hơn. mình dùng như toner, thấm cũng nhanh lắm nha.giao hàng siêu nhanh, tối đặt sáng mai giao+đúng giờ.;mùi cồn hơi nồng, dần sẽ quen. bạn nào da yếu, da
3669;mặt nạ ok, mùi thơm nhẹ nhẹ dễ chịu, rất nhiều dưỡng chất;Mặt nạ ok, mùi thơm nhẹ nhẹ dễ chịu, rất nhiều dưỡng chất.
3670;đắp xong da mặt mịn màng mà nó còn giảm bớt dầu nữa;Đắp xong, da mặt mịn màng mà nó còn giảm bớt dầu nữa.
3672;cấp ẩm tốt, thấm nhanh, da khô xài rất ok nha;Cấp ẩm tốt, thấm nhanh, da khô xài rất
3673;bông tẩy trang rẻ hơn thị trường rất nhiều quá tốt;Bông tẩy trang rẻ hơn thị trường rất nhiều, quá tốt.
3676;sài loại mới bị châm chích khó chịu lắm, tìm loại cũ không còn nữa;Sài loại mới bị châm chích khó chịu lắm, tìm loại cũ
3677;mụn li ti đắp xong biến nha;Mụn li ti đắp xong biến nhanh.
3680;thấy được đánh giá tốt nên mình đã mua về xài thử, kết quả là đúng như những gì review. sản phẩm trị mụn nhanh, mềm mịn mà còn không gây kích ứng cho da nữa;Thấy được đánh giá tốt nên mình đã mua về xài thử,
3682;mình dùng từ hồi tháng 5 đến nay, ban đầu liều mua dùng thử coi sao, nhưng hiệu quả ngoài mong đợi, da mình dầu mụn nhiều, dùng bha này có cải thiện rõ, da kiềm dầu hơn và mụn cũng giảm. chai nhỏ 30ml mà dùng khá lâu, mình không apply bằng bông tẩy trang mà dùng tay thoa lên mặt, cách này dùng sẽ đỡ hao hơn dùng bông tẩy trang. mình dùng xen kẽ cách ngày chứ không dùng hàng ngày;Mình dùng từ hồi tháng 5 đến nay, ban đầu liều mua dùng thử coi
3685;chai tuy 180ml thôi nhunge dùng siêu lâu do chất em này hơi sệt mình dùng dòng này nên mùi thơm rất thích lành tính cấp ẩm tốt lắm giá quá hợp lí phải nói là chân ái luôn sẽ mua lại thiệc nhiều lần;Chai tuy 180ml thôi nhưng dùng siêu lâu, do chất em này hơi s
3686;xài vài ngày đầu thấy da mặt căng mịn hơn hẳn, còn sáng da thì chưa thấu rõ rệt lắm, chắc phải 2-3 chai. cảm giác bơm serum lên mặt sẽ rất nóng, thẩm thấu hơi lâu, phải mát xa đều và vỗ nhẹ để serum thấm vào da :) nhưng nói chung là xài xong da sờ rất thích, trắng sáng thì phải từ từ, mưa dầm thấm lâu :v;Xài vài ngày đầu thấy da mặt căng mịn hơn hẳn, còn sáng da
3687;đặt hàng xong mới biết là bản mới. dùng k thích như bản cũ. kem k nâng tông, mùi khá nồng như mùi cồn ấy. mình bôi bị cảm giác châm chích ở khóe mũi. khá buồn với bản mới này.;đặt hàng xong mới biết là bản mới. dùng k thích như bản cũ. kem
3690;sản phẩm dạng gel nhớt nhớt, sử dụng cảm giác nhờn nhợn, với bản thân mình không phù hợp, mình dùng 1 lần rồi không sử dụng nữa.;sản phẩm dạng gel nhớt nhớt, sử dụng cảm giác nhờn nhợ
3691;kem đỉnh thật ,thoa vô la mát;Kem đỉnh thật , thoa vô là mát.
3692;giao hàng siêu nhanh giá sale hời;Giao hàng siêu nhanh, giá sale hời.
3699;mùi cà phê thơm, thỏi khá dài có thể sử dụng lâu dài ^^ tẩy da chết rất tốttt;Mùi cà phê thơm, thỏi khá dài, có thể sử dụng lâu
3702;chân ái của tui xài chai thứ 3 rồi cấp ẩm nhẹ , xài mướt da;Chân ái của tui xài chai thứ 3 rồi, cấp ẩ
3705;pass lại 300 chỉ xài 2 lần (98%) zalo 0962984685;Pass lại 300 chỉ xài 2 lần (98%). Zalo 09629
3706;sản phẩm dạng gel trong đặc, thoa lên mát thấm nhanh tạo một lớp màn mỏng, mùi thơm tác dụng hơi chậm với mụn mủ, mụn trứng cá còn mụn ẩn, mụn đầu trắng, mụn đỏ thì mình thấy nhanh. về thâm những vết mới mờ đi rất nhanh còn thâm lâu cần kiên trì sử dụng mà theo minh về trị thâm nên sử dụng sản phẩm đặc trị riêng sau khi hết mụn sẽ có kết quả nhanh hơn đó ạ dùng vào buổi sáng: srm -> toner -> serum b5 -> megadou -> kem chống nắng;Sản phẩm dạng gel trong đặc, thoa lên mát, thấm nhanh, tạo một
3708;đã sử dụng 3chai và mai tiếp tục ra mua tiếp. xài cực ổn thắm nhanh nâng tone nhẹ không bếch bếch kiềm dầu ổn lắm đặc biệt thích nhất là không cay mắt;đã sử dụng 3 chai và mai tiếp tục ra mua tiếp. Xài
3709;thật tệ, đây là lần mua hàng đáng thất vọng nhất.;thật tệ, đây là lần mua hàng đáng thất vọng nhất.
3710;sản phẩm không màu , k nâng tông , dưỡng ẩm nhiều nên bạn nào da dầu sẽ thấy bị bóng , mua cho ông ny xài thấy mặt ổng ko bóng do da ổng khô queo, sản phẩm có chứa cồn nên bạn nào nhạy cảm nên xem xét lại , có cồn nên bôi tránh mắt ra để tránh bị rát;Sản phẩm không màu , không nâng tông , dưỡng ẩm nhiều nên
3712;xài được đúng một loại này,chất lượng lắm, thích qua à,vừa không bị nám da nữa vừa làm kem nên cũng được.hợp với tone da;Xài được đúng một loại này, chất lượng lắm, thích quá à,
3713;ooo;ooo.
3715;"xuất sắc luôn, thấm nhanh, không rít, bị cái thơm hơi nồng so với mìn; em này bỏ xa 3 hũ gel nha đam hàn quốc rít chịt";Xuất sắc luôn, thấm nhanh, không rít, bị cái thơm hơi nồng
3716;xài gần hết hủ mụn thâm mờ bớt da trắng và kh bị nổi mụn mn nên dùng thử em này;Xài gần hết, chỗ mụn thâm mờ bớt, da trắng và khi bị
3718;loại tẩy trang yêu thích của mình vì tẩy sạch dc kcn và k bị khó chịu sau khi tẩy trang, k gây kích ứng, k nhờn rích;Loại tẩy trang yêu thích của mình vì tẩy sạch da mặt và k bị khó chịu
3719;rất ưng nha. kem chống nắng thích nhất từ trước tới giờ.;rất ưng nha. kem chống nắng thích nhất từ trước tới giờ.
3720;khá thất vọng, chất lượng chưa đủ để đánh giá cao.;khá thất vọng, chất lượng chưa đủ để đánh giá cao.
3721;chân ai cuộc đời cho da dầu mụn viêm.;chân ai cuộc đời cho da dầu mụn viêm.
3722;em này đỉnh của đỉnh nha, thấm nhanh, không gây bết rít, mình nặn mụn bị đỏ xài em nó qua 1 đêm hôm sau da dịu hẳn;Em này đỉnh của đỉnh nha, thấm nhanh, không gây bết rít,
3724;độ chống nắng mạnh rất thich hợp xài cho toàn thân với các hoạt động thể thao ngoài trời, nhược điểm là tắm xong da k mướt mà vẫn rít, nhưng minh van rat thich sp nay ve độ bao ve, nên xài khi di choi, hàng ngày nên xai loại nhe hơn nhung dưỡng nhiều hơn nhé;Độ chống nắng mạnh, rất thích hợp xài cho toàn thân với các hoạt
3725;k bị kích ứng, mùi dễ chịu nhưng da mình thiên dầu/hỗn hợp dễ nổi mụn nên mình chỉ dùng để tẩy kem chống nắng là chủ yếu nhưng cảm thấy k sạch bằng nivea. nivea loại cho da mụn thì mình chỉ cần một lần lau là tẩy rất sạch còn senka thì tẩy hơi nhẹ nhàng nên phải làm 2 lần mới cảm thấy sạch. mình thử senka vì nivea tẩy sạch nhưng để lại lớp màn hơi rít còn senka thì tẩy xong da rất ẩm dễ chịu. mình sử dụng kem chống nắng của sunplay í nên lớp kem k bị dày đâu nhưng cũng k tẩy sạch được 1 lần hic;Kị kích ứng, mùi dễ chịu nhưng da mình thiên dầu/hỗn
3727;dính ngay từ típ đầu giảm mụn rất ok và thâm thì khá chậm nhưng 10 đỉm;dính ngay từ típ đầu giảm mụn rất ok và thâm thì khá chậm nhưng
3728;chất lượng bình thường, đủ dùng nhưng chưa có gì để gây ấn tượng mạnh.;chất lượng bình thường, đủ dùng nhưng chưa có gì để gây ấn tượng mạnh.
3730;gel châm mun dung rất oki nhanh gom cồi va giảm thâm nhiu cảm ơn bạn tv rât nhiet tinh sẽ mua lại ❤️;Gel châm mun dung rất oki nhanh gom cồi va giảm thâm nhi
